Facility,Drug,Month,Consumption,End_Stock,Stock_Out
Buea Regional Hospital,Paracetamol,2023-12-31,186,67,0
Buea Regional Hospital,Paracetamol,2024-01-31,216,795,0
Buea Regional Hospital,Paracetamol,2024-02-29,340,579,0
Buea Regional Hospital,Paracetamol,2024-03-31,214,239,0
Buea Regional Hospital,Paracetamol,2024-04-30,389,25,1
Buea Regional Hospital,Paracetamol,2024-05-31,391,0,1
Buea Regional Hospital,Paracetamol,2024-06-30,390,301,0
Buea Regional Hospital,Paracetamol,2024-07-31,208,656,0
Buea Regional Hospital,Paracetamol,2024-08-31,284,448,0
Buea Regional Hospital,Paracetamol,2024-09-30,239,164,0
Buea Regional Hospital,Paracetamol,2024-10-31,352,0,1
Buea Regional Hospital,Paracetamol,2024-11-30,415,920,0
Buea Regional Hospital,Paracetamol,2024-12-31,348,505,0
Buea Regional Hospital,ORS,2023-01-31,598,3158,0
Buea Regional Hospital,ORS,2023-02-28,684,2560,0
Buea Regional Hospital,ORS,2023-03-31,513,1876,0
Buea Regional Hospital,ORS,2023-04-30,472,1363,0
Buea Regional Hospital,ORS,2023-05-31,461,891,0
Buea Regional Hospital,ORS,2023-06-30,467,430,0
Buea Regional Hospital,ORS,2023-07-31,526,1117,0
Buea Regional Hospital,ORS,2023-08-31,559,591,0
Buea Regional Hospital,ORS,2023-09-30,554,32,1
Buea Regional Hospital,ORS,2023-10-31,598,0,1
Buea Regional Hospital,ORS,2023-11-30,533,0,1
Buea Regional Hospital,ORS,2023-12-31,648,795,0
Buea Regional Hospital,ORS,2024-01-31,511,147,0
Buea Regional Hospital,ORS,2024-02-29,750,0,1
Buea Regional Hospital,ORS,2024-03-31,582,0,1
Buea Regional Hospital,ORS,2024-04-30,464,0,1
Buea Regional Hospital,ORS,2024-05-31,446,0,1
Buea Regional Hospital,ORS,2024-06-30,571,0,1
Buea Regional Hospital,ORS,2024-07-31,514,0,1
Buea Regional Hospital,ORS,2024-08-31,589,617,0
Buea Regional Hospital,ORS,2024-09-30,570,0,1
Buea Regional Hospital,ORS,2024-10-31,526,500,0
Buea Regional Hospital,ORS,2024-11-30,464,1134,0
Buea Regional Hospital,ORS,2024-12-31,411,344,0
Buea Regional Hospital,Metformin,2023-01-31,561,1233,0
Buea Regional Hospital,Metformin,2023-02-28,440,672,0
Buea Regional Hospital,Metformin,2023-03-31,227,0,1
Buea Regional Hospital,Metformin,2023-04-30,404,0,1
Buea Regional Hospital,Metformin,2023-05-31,336,0,1
Buea Regional Hospital,Metformin,2023-06-30,457,0,1
Buea Regional Hospital,Metformin,2023-07-31,326,0,1
Buea Regional Hospital,Metformin,2023-08-31,380,611,0
Buea Regional Hospital,Metformin,2023-09-30,430,232,0
Buea Regional Hospital,Metformin,2023-10-31,458,0,1
Buea Regional Hospital,Metformin,2023-11-30,293,720,0
Buea Regional Hospital,Metformin,2023-12-31,362,0,1
Buea Regional Hospital,Metformin,2024-01-31,351,0,1
Buea Regional Hospital,Metformin,2024-02-29,337,0,1
Buea Regional Hospital,Metformin,2024-03-31,530,0,1
Buea Regional Hospital,Metformin,2024-04-30,422,0,1
Buea Regional Hospital,Metformin,2024-05-31,288,241,0
Buea Regional Hospital,Metformin,2024-06-30,463,638,0
Buea Regional Hospital,Metformin,2024-07-31,559,1062,0
Buea Regional Hospital,Metformin,2024-08-31,472,503,0
Buea Regional Hospital,Metformin,2024-09-30,268,31,1
Buea Regional Hospital,Metformin,2024-10-31,350,0,1
Buea Regional Hospital,Metformin,2024-11-30,490,0,1
Buea Regional Hospital,Metformin,2024-12-31,332,269,0
Buea Regional Hospital,Atenolol,2023-01-31,345,3016,0
Buea Regional Hospital,Atenolol,2023-02-28,390,2124,0
Buea Regional Hospital,Atenolol,2023-03-31,434,1159,0
Buea Regional Hospital,Atenolol,2023-04-30,581,725,0
Buea Regional Hospital,Atenolol,2023-05-31,612,144,0
Buea Regional Hospital,Atenolol,2023-06-30,453,818,0
Buea Regional Hospital,Atenolol,2023-07-31,455,365,0
Buea Regional Hospital,Atenolol,2023-08-31,509,1141,0
Buea Regional Hospital,Atenolol,2023-09-30,489,0,1
Buea Regional Hospital,Atenolol,2023-10-31,562,0,1
Buea Regional Hospital,Atenolol,2023-11-30,446,0,1
Buea Regional Hospital,Atenolol,2023-12-31,564,0,1
Buea Regional Hospital,Atenolol,2024-01-31,469,0,1
Buea Regional Hospital,Atenolol,2024-02-29,556,831,0
Buea Regional Hospital,Atenolol,2024-03-31,466,275,0
Buea Regional Hospital,Atenolol,2024-04-30,439,852,0
Buea Regional Hospital,Atenolol,2024-05-31,641,586,0
Buea Regional Hospital,Atenolol,2024-06-30,573,0,1
Buea Regional Hospital,Atenolol,2024-07-31,344,0,1
Buea Regional Hospital,Atenolol,2024-08-31,452,0,1
Buea Regional Hospital,Atenolol,2024-09-30,584,0,1
Buea Regional Hospital,Atenolol,2024-10-31,392,0,1
Buea Regional Hospital,Atenolol,2024-11-30,549,225,0
Buea Regional Hospital,Atenolol,2024-12-31,541,0,1
Buea Regional Hospital,Salbutamol,2023-01-31,221,3192,0
Buea Regional Hospital,Salbutamol,2023-02-28,188,2658,0
Buea Regional Hospital,Salbutamol,2023-03-31,365,2470,0
Buea Regional Hospital,Salbutamol,2023-04-30,216,2105,0
Buea Regional Hospital,Salbutamol,2023-05-31,149,1889,0
Buea Regional Hospital,Salbutamol,2023-06-30,332,1740,0
Buea Regional Hospital,Salbutamol,2023-07-31,279,1408,0
Buea Regional Hospital,Salbutamol,2023-08-31,328,1129,0
Buea Regional Hospital,Salbutamol,2023-09-30,174,801,0
Buea Regional Hospital,Salbutamol,2023-10-31,261,626,0
Buea Regional Hospital,Salbutamol,2023-11-30,80,365,0
Buea Regional Hospital,Salbutamol,2023-12-31,246,285,0
Buea Regional Hospital,Salbutamol,2024-01-31,171,1417,0
Buea Regional Hospital,Salbutamol,2024-02-29,80,1247,0
Buea Regional Hospital,Salbutamol,2024-03-31,266,1167,0
Buea Regional Hospital,Salbutamol,2024-04-30,80,901,0
Buea Regional Hospital,Salbutamol,2024-05-31,80,821,0
Buea Regional Hospital,Salbutamol,2024-06-30,212,741,0
Buea Regional Hospital,Salbutamol,2024-07-31,229,529,0
Buea Regional Hospital,Salbutamol,2024-08-31,261,1305,0
Buea Regional Hospital,Salbutamol,2024-09-30,243,1045,0
Buea Regional Hospital,Salbutamol,2024-10-31,301,802,0
Buea Regional Hospital,Salbutamol,2024-11-30,239,501,0
Buea Regional Hospital,Salbutamol,2024-12-31,173,261,0
Buea Regional Hospital,Ceftriaxone,2023-01-31,362,2631,0
Buea Regional Hospital,Ceftriaxone,2023-02-28,404,2269,0
Buea Regional Hospital,Ceftriaxone,2023-03-31,448,1865,0
Buea Regional Hospital,Ceftriaxone,2023-04-30,592,1417,0
Buea Regional Hospital,Ceftriaxone,2023-05-31,437,826,0
Buea Regional Hospital,Ceftriaxone,2023-06-30,552,388,0
Buea Regional Hospital,Ceftriaxone,2023-07-31,442,0,1
Buea Regional Hospital,Ceftriaxone,2023-08-31,520,0,1
Buea Regional Hospital,Ceftriaxone,2023-09-30,510,0,1
Buea Regional Hospital,Ceftriaxone,2023-10-31,441,206,0
Buea Regional Hospital,Ceftriaxone,2023-11-30,347,489,0
Buea Regional Hospital,Ceftriaxone,2023-12-31,407,1054,0
Buea Regional Hospital,Ceftriaxone,2024-01-31,547,647,0
Buea Regional Hospital,Ceftriaxone,2024-02-29,498,100,0
Buea Regional Hospital,Ceftriaxone,2024-03-31,393,238,0
Buea Regional Hospital,Ceftriaxone,2024-04-30,401,604,0
Buea Regional Hospital,Ceftriaxone,2024-05-31,290,0,1
Buea Regional Hospital,Ceftriaxone,2024-06-30,544,0,1
Buea Regional Hospital,Ceftriaxone,2024-07-31,499,0,1
Buea Regional Hospital,Ceftriaxone,2024-08-31,417,0,1
Buea Regional Hospital,Ceftriaxone,2024-09-30,444,0,1
Buea Regional Hospital,Ceftriaxone,2024-10-31,254,0,1
Buea Regional Hospital,Ceftriaxone,2024-11-30,389,534,0
Buea Regional Hospital,Ceftriaxone,2024-12-31,535,145,0
Limbe District Hospital,Amoxicillin,2023-01-31,378,2435,0
Limbe District Hospital,Amoxicillin,2023-02-28,253,2057,0
Limbe District Hospital,Amoxicillin,2023-03-31,496,1804,0
Limbe District Hospital,Amoxicillin,2023-04-30,349,1308,0
Limbe District Hospital,Amoxicillin,2023-05-31,431,959,0
Limbe District Hospital,Amoxicillin,2023-06-30,506,528,0
Limbe District Hospital,Amoxicillin,2023-07-31,350,23,1
Limbe District Hospital,Amoxicillin,2023-08-31,435,0,1
Limbe District Hospital,Amoxicillin,2023-09-30,550,0,1
Limbe District Hospital,Amoxicillin,2023-10-31,232,187,0
Limbe District Hospital,Amoxicillin,2023-11-30,363,724,0
Limbe District Hospital,Amoxicillin,2023-12-31,356,360,0
Limbe District Hospital,Amoxicillin,2024-01-31,413,4,1
Limbe District Hospital,Amoxicillin,2024-02-29,424,0,1
Limbe District Hospital,Amoxicillin,2024-03-31,343,534,0
Limbe District Hospital,Amoxicillin,2024-04-30,376,190,0
Limbe District Hospital,Amoxicillin,2024-05-31,366,568,0
Limbe District Hospital,Amoxicillin,2024-06-30,400,202,0
Limbe District Hospital,Amoxicillin,2024-07-31,446,0,1
Limbe District Hospital,Amoxicillin,2024-08-31,501,0,1
Limbe District Hospital,Amoxicillin,2024-09-30,513,482,0
Limbe District Hospital,Amoxicillin,2024-10-31,481,673,0
Limbe District Hospital,Amoxicillin,2024-11-30,358,1315,0
Limbe District Hospital,Amoxicillin,2024-12-31,428,957,0
Limbe District Hospital,ACTs,2023-01-31,314,1578,0
Limbe District Hospital,ACTs,2023-02-28,370,1263,0
Limbe District Hospital,ACTs,2023-03-31,298,893,0
Limbe District Hospital,ACTs,2023-04-30,336,595,0
Limbe District Hospital,ACTs,2023-05-31,447,260,0
Limbe District Hospital,ACTs,2023-06-30,320,0,1
Limbe District Hospital,ACTs,2023-07-31,433,0,1
Limbe District Hospital,ACTs,2023-08-31,276,839,0
Limbe District Hospital,ACTs,2023-09-30,409,563,0
Limbe District Hospital,ACTs,2023-10-31,482,154,0
Limbe District Hospital,ACTs,2023-11-30,169,0,1
Limbe District Hospital,ACTs,2023-12-31,303,0,1
Limbe District Hospital,ACTs,2024-01-31,413,0,1
Limbe District Hospital,ACTs,2024-02-29,350,313,0
Limbe District Hospital,ACTs,2024-03-31,396,0,1
Limbe District Hospital,ACTs,2024-04-30,318,0,1
Limbe District Hospital,ACTs,2024-05-31,373,562,0
Limbe District Hospital,ACTs,2024-06-30,354,189,0
Limbe District Hospital,ACTs,2024-07-31,460,0,1
Limbe District Hospital,ACTs,2024-08-31,387,879,0
Limbe District Hospital,ACTs,2024-09-30,394,492,0
Limbe District Hospital,ACTs,2024-10-31,334,1056,0
Limbe District Hospital,ACTs,2024-11-30,328,723,0
Limbe District Hospital,ACTs,2024-12-31,332,395,0
Limbe District Hospital,Paracetamol,2023-01-31,330,2894,0
Limbe District Hospital,Paracetamol,2023-02-28,331,2564,0
Limbe District Hospital,Paracetamol,2023-03-31,364,2233,0
Limbe District Hospital,Paracetamol,2023-04-30,334,1868,0
Limbe District Hospital,Paracetamol,2023-05-31,123,1535,0
Limbe District Hospital,Paracetamol,2023-06-30,276,1412,0
Limbe District Hospital,Paracetamol,2023-07-31,168,1136,0
Limbe District Hospital,Paracetamol,2023-08-31,212,968,0
Limbe District Hospital,Paracetamol,2023-09-30,267,756,0
Limbe District Hospital,Paracetamol,2023-10-31,320,489,0
Limbe District Hospital,Paracetamol,2023-11-30,182,169,0
Limbe District Hospital,Paracetamol,2023-12-31,80,889,0
Limbe District Hospital,Paracetamol,2024-01-31,268,809,0
Limbe District Hospital,Paracetamol,2024-02-29,465,74,0
Limbe District Hospital,Paracetamol,2024-03-31,237,0,1
Limbe District Hospital,Paracetamol,2024-04-30,257,1027,0
Limbe District Hospital,Paracetamol,2024-05-31,396,770,0
Limbe District Hospital,Paracetamol,2024-06-30,300,374,0
Limbe District Hospital,Paracetamol,2024-07-31,271,833,0
Limbe District Hospital,Paracetamol,2024-08-31,289,562,0
Limbe District Hospital,Paracetamol,2024-09-30,273,273,0
Limbe District Hospital,Paracetamol,2024-10-31,162,0,1
Limbe District Hospital,Paracetamol,2024-11-30,146,1036,0
Limbe District Hospital,Paracetamol,2024-12-31,404,890,0
Limbe District Hospital,ORS,2023-01-31,561,2681,0
Limbe District Hospital,ORS,2023-02-28,494,2120,0
Limbe District Hospital,ORS,2023-03-31,788,1248,0
Limbe District Hospital,ORS,2023-04-30,587,460,0
Limbe District Hospital,ORS,2023-05-31,584,672,0
Limbe District Hospital,ORS,2023-06-30,581,89,0
Limbe District Hospital,ORS,2023-07-31,598,0,1
Limbe District Hospital,ORS,2023-08-31,571,0,1
Limbe District Hospital,ORS,2023-09-30,537,248,0
Limbe District Hospital,ORS,2023-10-31,539,0,1
Limbe District Hospital,ORS,2023-11-30,580,0,1
Limbe District Hospital,ORS,2023-12-31,539,284,0
Limbe District Hospital,ORS,2024-01-31,525,422,0
Limbe District Hospital,ORS,2024-02-29,591,660,0
Limbe District Hospital,ORS,2024-03-31,562,69,0
Limbe District Hospital,ORS,2024-04-30,703,0,1
Limbe District Hospital,ORS,2024-05-31,370,239,0
Limbe District Hospital,ORS,2024-06-30,670,1030,0
Limbe District Hospital,ORS,2024-07-31,682,360,0
Limbe District Hospital,ORS,2024-08-31,417,0,1
Limbe District Hospital,ORS,2024-09-30,555,0,1
Limbe District Hospital,ORS,2024-10-31,553,827,0
Limbe District Hospital,ORS,2024-11-30,470,274,0
Limbe District Hospital,ORS,2024-12-31,520,0,1
Limbe District Hospital,Metformin,2023-01-31,185,1582,0
Limbe District Hospital,Metformin,2023-02-28,80,1398,0
Limbe District Hospital,Metformin,2023-03-31,80,716,0
Limbe District Hospital,Metformin,2023-04-30,220,636,0
Limbe District Hospital,Metformin,2023-05-31,174,417,0
Limbe District Hospital,Metformin,2023-06-30,145,243,0
Limbe District Hospital,Metformin,2023-07-31,162,1207,0
Limbe District Hospital,Metformin,2023-08-31,188,1046,0
Limbe District Hospital,Metformin,2023-09-30,117,858,0
Limbe District Hospital,Metformin,2023-10-31,98,741,0
Limbe District Hospital,Metformin,2023-11-30,176,643,0
Limbe District Hospital,Metformin,2023-12-31,82,467,0
Limbe District Hospital,Metformin,2024-01-31,193,0,1
Limbe District Hospital,Metformin,2024-02-29,80,0,1
Limbe District Hospital,Metformin,2024-03-31,242,0,1
Limbe District Hospital,Metformin,2024-04-30,198,1013,0
Limbe District Hospital,Metformin,2024-05-31,181,815,0
Limbe District Hospital,Metformin,2024-06-30,239,634,0
Limbe District Hospital,Metformin,2024-07-31,293,396,0
Limbe District Hospital,Metformin,2024-08-31,241,102,0
Limbe District Hospital,Metformin,2024-09-30,80,0,1
Limbe District Hospital,Metformin,2024-10-31,80,0,1
Limbe District Hospital,Metformin,2024-11-30,110,1346,0
Limbe District Hospital,Metformin,2024-12-31,162,1235,0
Limbe District Hospital,Atenolol,2023-01-31,472,2867,0
Limbe District Hospital,Atenolol,2023-02-28,560,1937,0
Limbe District Hospital,Atenolol,2023-03-31,663,1378,0
Limbe District Hospital,Atenolol,2023-04-30,587,715,0
Limbe District Hospital,Atenolol,2023-05-31,643,128,0
Limbe District Hospital,Atenolol,2023-06-30,627,0,1
Limbe District Hospital,Atenolol,2023-07-31,681,756,0
Limbe District Hospital,Atenolol,2023-08-31,663,0,1
Limbe District Hospital,Atenolol,2023-09-30,541,0,1
Limbe District Hospital,Atenolol,2023-10-31,628,0,1
Limbe District Hospital,Atenolol,2023-11-30,455,0,1
Limbe District Hospital,Atenolol,2023-12-31,573,0,1
Limbe District Hospital,Atenolol,2024-01-31,643,0,1
Limbe District Hospital,Atenolol,2024-02-29,588,0,1
Limbe District Hospital,Atenolol,2024-03-31,613,0,1
Limbe District Hospital,Atenolol,2024-04-30,561,306,0
Limbe District Hospital,Atenolol,2024-05-31,668,556,0
Limbe District Hospital,Atenolol,2024-06-30,571,0,1
Limbe District Hospital,Atenolol,2024-07-31,540,0,1
Limbe District Hospital,Atenolol,2024-08-31,649,915,0
Limbe District Hospital,Atenolol,2024-09-30,465,1242,0
Limbe District Hospital,Atenolol,2024-10-31,618,777,0
Limbe District Hospital,Atenolol,2024-11-30,494,159,0
Limbe District Hospital,Atenolol,2024-12-31,680,1157,0
Limbe District Hospital,Salbutamol,2023-01-31,268,2707,0
Limbe District Hospital,Salbutamol,2023-02-28,294,2439,0
Limbe District Hospital,Salbutamol,2023-03-31,277,1642,0
Limbe District Hospital,Salbutamol,2023-04-30,451,1364,0
Limbe District Hospital,Salbutamol,2023-05-31,203,914,0
Limbe District Hospital,Salbutamol,2023-06-30,212,710,0
Limbe District Hospital,Salbutamol,2023-07-31,204,499,0
Limbe District Hospital,Salbutamol,2023-08-31,210,0,1
Limbe District Hospital,Salbutamol,2023-09-30,203,0,1
Limbe District Hospital,Salbutamol,2023-10-31,349,0,1
Limbe District Hospital,Salbutamol,2023-11-30,368,861,0
Limbe District Hospital,Salbutamol,2023-12-31,209,493,0
Limbe District Hospital,Salbutamol,2024-01-31,188,284,0
Limbe District Hospital,Salbutamol,2024-02-29,292,97,0
Limbe District Hospital,Salbutamol,2024-03-31,210,0,1
Limbe District Hospital,Salbutamol,2024-04-30,305,0,1
Limbe District Hospital,Salbutamol,2024-05-31,270,0,1
Limbe District Hospital,Salbutamol,2024-06-30,133,0,1
Limbe District Hospital,Salbutamol,2024-07-31,378,0,1
Limbe District Hospital,Salbutamol,2024-08-31,398,965,0
Limbe District Hospital,Salbutamol,2024-09-30,205,567,0
Limbe District Hospital,Salbutamol,2024-10-31,223,362,0
Limbe District Hospital,Salbutamol,2024-11-30,277,1475,0
Limbe District Hospital,Salbutamol,2024-12-31,281,1198,0
Limbe District Hospital,Ceftriaxone,2023-01-31,394,2944,0
Limbe District Hospital,Ceftriaxone,2023-02-28,382,2239,0
Limbe District Hospital,Ceftriaxone,2023-03-31,270,1857,0
Limbe District Hospital,Ceftriaxone,2023-04-30,438,1588,0
Limbe District Hospital,Ceftriaxone,2023-05-31,430,1150,0
Limbe District Hospital,Ceftriaxone,2023-06-30,551,720,0
Limbe District Hospital,Ceftriaxone,2023-07-31,354,1666,0
Limbe District Hospital,Ceftriaxone,2023-08-31,396,1312,0
Limbe District Hospital,Ceftriaxone,2023-09-30,398,916,0
Limbe District Hospital,Ceftriaxone,2023-10-31,505,518,0
Limbe District Hospital,Ceftriaxone,2023-11-30,371,13,1
Limbe District Hospital,Ceftriaxone,2023-12-31,401,855,0
Limbe District Hospital,Ceftriaxone,2024-01-31,427,454,0
Limbe District Hospital,Ceftriaxone,2024-02-29,393,27,1
Limbe District Hospital,Ceftriaxone,2024-03-31,343,0,1
Limbe District Hospital,Ceftriaxone,2024-04-30,394,0,1
Limbe District Hospital,Ceftriaxone,2024-05-31,464,0,1
Limbe District Hospital,Ceftriaxone,2024-06-30,296,0,1
Limbe District Hospital,Ceftriaxone,2024-07-31,389,0,1
Limbe District Hospital,Ceftriaxone,2024-08-31,322,239,0
Limbe District Hospital,Ceftriaxone,2024-09-30,474,0,1
Limbe District Hospital,Ceftriaxone,2024-10-31,257,0,1
Limbe District Hospital,Ceftriaxone,2024-11-30,334,1125,0
Limbe District Hospital,Ceftriaxone,2024-12-31,409,792,0
Kumba District Hospital,Amoxicillin,2023-01-31,534,1871,0
Kumba District Hospital,Amoxicillin,2023-02-28,546,1337,0
Kumba District Hospital,Amoxicillin,2023-03-31,421,792,0
Kumba District Hospital,Amoxicillin,2023-04-30,523,370,0
Kumba District Hospital,Amoxicillin,2023-05-31,597,125,0
Kumba District Hospital,Amoxicillin,2023-06-30,536,577,0
Kumba District Hospital,Amoxicillin,2023-07-31,414,41,1
Kumba District Hospital,Amoxicillin,2023-08-31,493,520,0
Kumba District Hospital,Amoxicillin,2023-09-30,527,943,0
Kumba District Hospital,Amoxicillin,2023-10-31,436,77,0
Kumba District Hospital,Amoxicillin,2023-11-30,388,0,1
Kumba District Hospital,Amoxicillin,2023-12-31,472,0,1
Kumba District Hospital,Amoxicillin,2024-01-31,438,222,0
Kumba District Hospital,Amoxicillin,2024-02-29,496,0,1
Kumba District Hospital,Amoxicillin,2024-03-31,370,0,1
Kumba District Hospital,Amoxicillin,2024-04-30,542,0,1
Kumba District Hospital,Amoxicillin,2024-05-31,446,0,1
Kumba District Hospital,Amoxicillin,2024-06-30,577,0,1
Kumba District Hospital,Amoxicillin,2024-07-31,475,0,1
Kumba District Hospital,Amoxicillin,2024-08-31,495,0,1
Kumba District Hospital,Amoxicillin,2024-09-30,483,0,1
Kumba District Hospital,Amoxicillin,2024-10-31,442,171,0
Kumba District Hospital,Amoxicillin,2024-11-30,695,1114,0
Kumba District Hospital,Amoxicillin,2024-12-31,457,419,0
Kumba District Hospital,ACTs,2023-01-31,507,2562,0
Kumba District Hospital,ACTs,2023-02-28,547,2056,0
Kumba District Hospital,ACTs,2023-03-31,639,1509,0
Kumba District Hospital,ACTs,2023-04-30,679,870,0
Kumba District Hospital,ACTs,2023-05-31,826,191,0
Kumba District Hospital,ACTs,2023-06-30,581,0,1
Kumba District Hospital,ACTs,2023-07-31,514,232,0
Kumba District Hospital,ACTs,2023-08-31,649,1087,0
Kumba District Hospital,ACTs,2023-09-30,499,437,0
Kumba District Hospital,ACTs,2023-10-31,634,0,1
Kumba District Hospital,ACTs,2023-11-30,549,0,1
Kumba District Hospital,ACTs,2023-12-31,606,0,1
Kumba District Hospital,ACTs,2024-01-31,676,0,1
Kumba District Hospital,ACTs,2024-02-29,580,515,0
Kumba District Hospital,ACTs,2024-03-31,664,0,1
Kumba District Hospital,ACTs,2024-04-30,659,0,1
Kumba District Hospital,ACTs,2024-05-31,440,7,1
Kumba District Hospital,ACTs,2024-06-30,517,0,1
Kumba District Hospital,ACTs,2024-07-31,464,0,1
Kumba District Hospital,ACTs,2024-08-31,749,691,0
Kumba District Hospital,ACTs,2024-09-30,581,693,0
Kumba District Hospital,ACTs,2024-10-31,732,0,1
Kumba District Hospital,ACTs,2024-11-30,459,0,1
Kumba District Hospital,ACTs,2024-12-31,543,0,1
Kumba District Hospital,Paracetamol,2023-01-31,520,2793,0
Kumba District Hospital,Paracetamol,2023-02-28,525,2273,0
Kumba District Hospital,Paracetamol,2023-03-31,535,1748,0
Kumba District Hospital,Paracetamol,2023-04-30,538,1213,0
Kumba District Hospital,Paracetamol,2023-05-31,599,675,0
Kumba District Hospital,Paracetamol,2023-06-30,545,76,0
Kumba District Hospital,Paracetamol,2023-07-31,599,969,0
Kumba District Hospital,Paracetamol,2023-08-31,534,370,0
Kumba District Hospital,Paracetamol,2023-09-30,547,1029,0
Kumba District Hospital,Paracetamol,2023-10-31,381,482,0
Kumba District Hospital,Paracetamol,2023-11-30,614,1293,0
Kumba District Hospital,Paracetamol,2023-12-31,568,679,0
Kumba District Hospital,Paracetamol,2024-01-31,621,0,1
Kumba District Hospital,Paracetamol,2024-02-29,309,0,1
Kumba District Hospital,Paracetamol,2024-03-31,708,0,1
Kumba District Hospital,Paracetamol,2024-04-30,530,0,1
Kumba District Hospital,Paracetamol,2024-05-31,629,0,1
Kumba District Hospital,Paracetamol,2024-06-30,458,0,1
Kumba District Hospital,Paracetamol,2024-07-31,590,0,1
Kumba District Hospital,Paracetamol,2024-08-31,456,500,0
Kumba District Hospital,Paracetamol,2024-09-30,491,0,1
Kumba District Hospital,Paracetamol,2024-10-31,694,0,1
Kumba District Hospital,Paracetamol,2024-11-30,525,0,1
Kumba District Hospital,Paracetamol,2024-12-31,558,0,1
Kumba District Hospital,ORS,2023-01-31,266,1791,0
Kumba District Hospital,ORS,2023-02-28,196,1525,0
Kumba District Hospital,ORS,2023-03-31,339,1328,0
Kumba District Hospital,ORS,2023-04-30,375,989,0
Kumba District Hospital,ORS,2023-05-31,80,614,0
Kumba District Hospital,ORS,2023-06-30,198,534,0
Kumba District Hospital,ORS,2023-07-31,257,336,0
Kumba District Hospital,ORS,2023-08-31,342,1052,0
